,year,month,metro + city,powerUsage,bill,unitCost,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃),population,GRDP
0,2017,1,강원도 강릉,136203883,15489963128,113.7309521006828,강원영동,1.2,-2.6,5.4,212187,393486.5
1,2017,1,강원도 고성,19614281,2371748401,120.9083561156282,강원영동,1.2,-2.6,5.4,29817,73831.75
2,2017,1,강원도 동해,211382710,22747080454,107.6348894296984,강원영동,1.2,-2.6,5.4,92100,234253.58333333334
3,2017,1,강원도 삼척,120792666,13726645787,113.62609339461054,강원영동,1.2,-2.6,5.4,67873,177678.33333333334
4,2017,1,강원도 속초,30414974,3851136551,126.63217216953728,강원영동,1.2,-2.6,5.4,81541,126996.66666666667
5,2017,1,강원도 양구,13000750,1490739082,114.6836776878257,강원영서,-3.1,-8.3,2.9,23697,65387.0
6,2017,1,강원도 양양,17493654,2138391059,122.24609158841258,강원영동,1.2,-2.6,5.4,27004,70129.08333333333
7,2017,1,강원도 영월,70098427,8025877060,114.52149194731574,강원영서,-3.1,-8.3,2.9,39521,91405.83333333333
8,2017,1,강원도 원주,154163312,19096239307,123.88146607021524,강원영서,-3.1,-8.3,2.9,338881,666599.4166666666
9,2017,1,강원도 인제,20161056,2384910647,118.29183912787109,강원영서,-3.1,-8.3,2.9,32394,105426.5
10,2017,1,강원도 정선,46141514,5310503547,115.07819758580094,강원영서,-3.1,-8.3,2.9,37381,105493.91666666667
11,2017,1,강원도 철원,28369583,3117144147,109.86082234976809,강원영서,-3.1,-8.3,2.9,46804,132742.58333333334
12,2017,1,강원도 춘천,103348136,12531500139,121.25795793743198,강원영서,-3.1,-8.3,2.9,278194,562630.25
13,2017,1,강원도 태백,21187862,2881699338,135.98934231778557,강원영동,1.2,-2.6,5.4,44873,71547.66666666667
14,2017,1,강원도 평창,39779195,4419627441,111.11655418617696,강원영서,-3.1,-8.3,2.9,42678,130387.08333333333
15,2017,1,강원도 홍천,41972760,4996430815,119.05700821199272,강원영서,-3.1,-8.3,2.9,69789,177666.66666666666
16,2017,1,강원도 화천,16690750,1929911092,115.65363204769108,강원영서,-3.1,-8.3,2.9,25853,93410.16666666667
17,2017,1,강원도 횡성,36184338,4118188806,113.81233164470218,강원영서,-3.1,-8.3,2.9,45922,119062.75
18,2017,1,경기도 가평,45130226,5472241226,121.2635387844058,서울경기,-1.6,-5.9,3.1,62233,122598.83333333333
19,2017,1,경기도 고양,301674958,36160711880,119.85760075716988,서울경기,-1.6,-5.9,3.1,1031729,1444227.4166666667
20,2017,1,경기도 과천,28762425,3482436409,121.07426802155938,서울경기,-1.6,-5.9,3.1,56526,319107.6666666667
21,2017,1,경기도 광명,65473751,8420288216,128.59414703916994,서울경기,-1.6,-5.9,3.1,329569,558564.25
22,2017,1,경기도 광주,184151113,22684863989,123.2076738205758,서울경기,-1.6,-5.9,3.1,343690,689111.75
23,2017,1,경기도 구리,46686423,5971684290,127.90452126306614,서울경기,-1.6,-5.9,3.1,197947,249345.83333333334
24,2017,1,경기도 군포,100534701,12708650385,126.4423838630604,서울경기,-1.6,-5.9,3.1,279166,530788.75
25,2017,1,경기도 김포,273354986,34560924430,126.45895705666771,서울경기,-1.6,-5.9,3.1,389763,905980.6666666666
26,2017,1,경기도 남양주,187584497,23275370181,124.0671260829193,서울경기,-1.6,-5.9,3.1,660475,733788.5833333334
27,2017,1,경기도 동두천,46662114,5851110808,125.38286222523054,서울경기,-1.6,-5.9,3.1,95008,143998.33333333334
28,2017,1,경기도 부천,274636632,34812974787,126.76804529885146,서울경기,-1.6,-5.9,3.1,842000,1235015.75
29,2017,1,경기도 성남,303923334,38588750986,126.96785220676736,서울경기,-1.6,-5.9,3.1,956106,2992410.25
30,2017,1,경기도 수원,337834243,42288692209,125.16204559346582,서울경기,-1.6,-5.9,3.1,1193841,2482806.0833333335
31,2017,1,경기도 시흥,331969586,41616448562,125.33594052106928,서울경기,-1.6,-5.9,3.1,415859,1168710.4166666667
32,2017,1,경기도 안산,639223497,78332197124,122.51168527242044,서울경기,-1.6,-5.9,3.1,671098,1939289.5833333333
33,2017,1,경기도 안성,218675956,25635399870,117.22785064124749,서울경기,-1.6,-5.9,3.1,181360,672265.8333333334
34,2017,1,경기도 안양,162939105,21083407132,129.38570109551054,서울경기,-1.6,-5.9,3.1,582411,1269950.4166666667
35,2017,1,경기도 양주,166729144,20183578443,121.040522258664,서울경기,-1.6,-5.9,3.1,210365,459925.0833333333
36,2017,1,경기도 양평,52724811,5854811548,111.05230832406396,서울경기,-1.6,-5.9,3.1,114076,136274.41666666666
37,2017,1,경기도 여주,98999687,10893612613,110.0073989819786,서울경기,-1.6,-5.9,3.1,111208,266251.25
38,2017,1,경기도 연천,39376285,4440948358,112.80037834701776,서울경기,-1.6,-5.9,3.1,44869,101669.5
39,2017,1,경기도 오산,83242503,10457654262,125.6490475736896,서울경기,-1.6,-5.9,3.1,212182,396641.0
40,2017,1,경기도 용인,679384573,77513148516,114.12106107978995,서울경기,-1.6,-5.9,3.1,997406,2385398.25
41,2017,1,경기도 의왕,46661554,5984308649,128.25219376534264,서울경기,-1.6,-5.9,3.1,154489,249814.66666666666
42,2017,1,경기도 의정부,100646207,12659824702,125.76283843563026,서울경기,-1.6,-5.9,3.1,435328,501794.3333333333
43,2017,1,경기도 이천,427297663,45836181453,107.29376565558232,서울경기,-1.6,-5.9,3.1,211824,1313886.75
44,2017,1,경기도 파주,681424452,75128001451,110.25054006940744,서울경기,-1.6,-5.9,3.1,434081,1525820.5
45,2017,1,경기도 평택,613793077,72317592988,117.81614306493718,서울경기,-1.6,-5.9,3.1,475047,2248736.3333333335
46,2017,1,경기도 포천,220130003,26006090176,118.16588318403834,서울경기,-1.6,-5.9,3.1,151300,507030.4166666667
47,2017,1,경기도 하남,89244777,10608698006,118.87236196242613,서울경기,-1.6,-5.9,3.1,230662,396906.1666666667
48,2017,1,경기도 화성,1398225841,159750858307,114.22588148075864,서울경기,-1.6,-5.9,3.1,688293,4897376.083333333
49,2017,1,경상남도 거제,165192390,20290352161,122.83069881427348,경남,1.6,-3.7,7.7,252644,751877.75
50,2017,1,경상남도 거창,29833887,3230277203,108.28771107499335,경남,1.6,-3.7,7.7,62396,114755.41666666667
51,2017,1,경상남도 고성,45274733,4954617214,109.44644536280316,경남,1.6,-3.7,7.7,53667,178109.66666666666
52,2017,1,경상남도 김해,401351779,51018022249,127.08006549386693,경남,1.6,-3.7,7.7,529069,1171405.3333333333
53,2017,1,경상남도 남해,15805409,1736800299,109.90299772691742,경남,1.6,-3.7,7.7,44352,79740.25
54,2017,1,경상남도 밀양,111744313,10410196036,93.14932530033992,경남,1.6,-3.7,7.7,106963,217554.08333333334
55,2017,1,경상남도 사천,97426095,11694155022,120.01430291545608,경남,1.6,-3.7,7.7,113340,306487.25
56,2017,1,경상남도 산청,25310761,2386592008,94.27983391333036,경남,1.6,-3.7,7.7,36053,73978.33333333333
57,2017,1,경상남도 양산,264876540,32733248411,123.56551912034188,경남,1.6,-3.7,7.7,337063,770315.1666666666
58,2017,1,경상남도 의령,34109195,3359483558,98.48460640598525,경남,1.6,-3.7,7.7,27697,66864.91666666667
59,2017,1,경상남도 진주,211858969,21433831347,101.17505175199828,경남,1.6,-3.7,7.7,344973,619149.1666666666
60,2017,1,경상남도 창녕,87662962,8497050055,96.93556344126269,경남,1.6,-3.7,7.7,63633,186983.5
61,2017,1,경상남도 창원,782709061,95602253555,122.13930062181817,경남,1.6,-3.7,7.7,1050751,2803944.0833333335
62,2017,1,경상남도 통영,78995229,9311446134,117.84546337602237,경남,1.6,-3.7,7.7,134826,260902.0
63,2017,1,경상남도 하동,23378490,2455032600,104.98513628981168,경남,1.6,-3.7,7.7,48544,184796.91666666666
64,2017,1,경상남도 함안,209144766,25143392247,120.18707138097832,경남,1.6,-3.7,7.7,67728,281439.0833333333
65,2017,1,경상남도 함양,16368694,1734748330,105.96739284759065,경남,1.6,-3.7,7.7,39840,74534.91666666667
66,2017,1,경상남도 합천,28981910,2567596589,88.6095316354236,경남,1.6,-3.7,7.7,46545,81819.16666666667
67,2017,1,경상북도 경산,202115756,24178630906,119.62288672437786,경북,0.5,-4.6,6.0,257691,587177.3333333334
68,2017,1,경상북도 경주,316122684,38417154962,121.55018540365168,경북,0.5,-4.6,6.0,256055,802022.25
69,2017,1,경상북도 고령,103073337,11984099725,116.29114978008327,경북,0.5,-4.6,6.0,33520,108731.25
70,2017,1,경상북도 구미,768193004,85134230907,110.86303066123732,경북,0.5,-4.6,6.0,419694,2569852.9166666665
71,2017,1,경상북도 군위,25782836,2689254447,104.3028654140297,경북,0.5,-4.6,6.0,24051,61308.083333333336
72,2017,1,경상북도 김천,173166629,19508438492,112.67799770474252,경북,0.5,-4.6,6.0,142123,398360.5
73,2017,1,경상북도 문경,38840340,4466339775,114.98549049776598,경북,0.5,-4.6,6.0,72735,120052.5
74,2017,1,경상북도 봉화,161446458,16064395775,99.53728254849663,경북,0.5,-4.6,6.0,32912,77043.25
75,2017,1,경상북도 상주,46775506,4693796231,100.3380766891116,경북,0.5,-4.6,6.0,100196,168741.58333333334
76,2017,1,경상북도 성주,84066296,9585916296,114.0529055544448,경북,0.5,-4.6,6.0,44812,149207.83333333334
77,2017,1,경상북도 안동,74184870,8473002512,114.20840885884142,경북,0.5,-4.6,6.0,165429,344127.0
78,2017,1,경상북도 영덕,19860069,2464625044,124.09368585275308,경북,0.5,-4.6,6.0,38181,60890.416666666664
79,2017,1,경상북도 영양,4908985,572888226,116.72255229950795,경북,0.5,-4.6,6.0,17298,34714.25
80,2017,1,경상북도 영주,116929416,12684071338,108.4699502621308,경북,0.5,-4.6,6.0,107711,226035.25
81,2017,1,경상북도 영천,119307046,13925057367,116.73249774870798,경북,0.5,-4.6,6.0,99818,259562.16666666666
82,2017,1,경상북도 예천,17533523,1935176783,110.38485969419835,경북,0.5,-4.6,6.0,48918,88038.33333333333
83,2017,1,경상북도 울릉,3852043,540575163,140.33085401694632,경북,0.5,-4.6,6.0,9788,21995.25
84,2017,1,경상북도 울진,76811602,8549370916,111.30945025075768,경북,0.5,-4.6,6.0,50664,202435.5
85,2017,1,경상북도 의성,24173361,2528976880,104.63988663388596,경북,0.5,-4.6,6.0,52932,92957.41666666667
86,2017,1,경상북도 청도,36623828,3166462835,86.45442162954674,경북,0.5,-4.6,6.0,43017,77914.91666666667
87,2017,1,경상북도 청송,11159501,1191402626,106.76443669837924,경북,0.5,-4.6,6.0,25832,54340.5
88,2017,1,경상북도 칠곡,162329024,19163168821,118.03239630640545,경북,0.5,-4.6,6.0,119884,325514.1666666667
89,2017,1,경상북도 포항,908094822,96085042357,105.82839562827064,경북,0.5,-4.6,6.0,510860,1376261.9166666667
90,2017,1,광주광역시 광산,249619084,31136769752,124.74647767155494,전남,2.5,-1.7,7.2,402389,959079.25
91,2017,1,광주광역시 남,36450757,4619792465,126.74490550909546,전남,2.5,-1.7,7.2,216974,225254.75
92,2017,1,광주광역시 동,40885035,5293459402,129.47502301514476,전남,2.5,-1.7,7.2,93826,266490.3333333333
93,2017,1,광주광역시 북,141680420,17241377851,121.68150158434032,전남,2.5,-1.7,7.2,436261,691602.5833333334
94,2017,1,광주광역시 서,98862666,12844038587,129.91774795755555,전남,2.5,-1.7,7.2,305189,713628.5
95,2017,1,대구광역시 남,32410348,4097884616,126.41830329621884,경북,0.5,-4.6,6.0,150427,205640.5
96,2017,1,대구광역시 달서,287070584,35681441192,124.31130134810329,경북,0.5,-4.6,6.0,575066,842440.9166666666
97,2017,1,대구광역시 달성,279176455,32654281937,116.95952471027688,경북,0.5,-4.6,6.0,242474,537665.6666666666
98,2017,1,대구광역시 동,83965106,10772775471,128.28602446116128,경북,0.5,-4.6,6.0,346343,529254.25
99,2017,1,대구광역시 북,159667816,20224315454,126.64654093972196,경북,0.5,-4.6,6.0,438543,764075.9166666666
100,2017,1,대구광역시 서,71192705,9252503148,129.9771354129612,경북,0.5,-4.6,6.0,189691,257721.25
101,2017,1,대구광역시 수성,88481214,11537993639,130.40603853604452,경북,0.5,-4.6,6.0,436001,547795.3333333334
102,2017,1,대구광역시 중,53461937,7221351859,135.06931455364216,경북,0.5,-4.6,6.0,77533,392141.0833333333
103,2017,1,대전광역시 대덕,214562446,25546583782,119.039715387566,충남,-1.2,-6.4,4.5,185573,566555.0833333334
104,2017,1,대전광역시 동,48138091,6155684884,127.86014940642328,충남,-1.2,-6.4,4.5,227989,253446.83333333334
105,2017,1,대전광역시 서,102773003,13603423346,132.37306491764187,충남,-1.2,-6.4,4.5,484386,878903.0833333334
106,2017,1,대전광역시 유성,207905973,25322985092,121.81266571355312,충남,-1.2,-6.4,4.5,347058,964344.4166666666
107,2017,1,대전광역시 중,55995151,7315777159,130.63904234136277,충남,-1.2,-6.4,4.5,246525,353401.25
108,2017,1,부산광역시 강서,296089704,37171736939,125.55077704998482,경남,1.6,-3.7,7.7,116523,933179.75
109,2017,1,부산광역시 금정,67732044,8600049293,126.96399225453762,경남,1.6,-3.7,7.7,241930,345867.5833333333
110,2017,1,부산광역시 기장,80548483,10678247568,132.5911096190353,경남,1.6,-3.7,7.7,160814,387473.75
111,2017,1,부산광역시 남,87464055,10477141986,119.7855733786868,경남,1.6,-3.7,7.7,270980,458587.0833333333
112,2017,1,부산광역시 동,33760812,4449382013,131.79405713049792,경남,1.6,-3.7,7.7,87031,347781.6666666667
113,2017,1,부산광역시 동래,48942569,6387258705,130.49891483424173,경남,1.6,-3.7,7.7,267960,295767.1666666667
114,2017,1,부산광역시 부산진,98510143,13004799160,132.0136729778171,경남,1.6,-3.7,7.7,366570,616128.8333333334
115,2017,1,부산광역시 북,43093477,5554519438,128.90432389338184,경남,1.6,-3.7,7.7,300935,227365.08333333334
116,2017,1,부산광역시 사상,135599553,17865706350,131.7729407588829,경남,1.6,-3.7,7.7,227014,501356.5833333333
117,2017,1,부산광역시 사하,201062421,25214271439,125.39804775950653,경남,1.6,-3.7,7.7,330224,523130.0833333333
118,2017,1,부산광역시 서,34880872,4384400709,125.6754087283139,경남,1.6,-3.7,7.7,107733,237011.41666666666
119,2017,1,부산광역시 수영,28321867,3799147411,134.15317207725042,경남,1.6,-3.7,7.7,178010,191382.16666666666
120,2017,1,부산광역시 연제,42228999,5657235390,133.9598605261754,경남,1.6,-3.7,7.7,204528,483257.1666666667
121,2017,1,부산광역시 영도,24947718,3295651744,132.09588131467575,경남,1.6,-3.7,7.7,121464,191476.66666666666
122,2017,1,부산광역시 중,26515057,3663590181,138.17748791941122,경남,1.6,-3.7,7.7,42898,242877.0
123,2017,1,부산광역시 해운대,97337998,12789775478,131.38913425566855,경남,1.6,-3.7,7.7,407770,605972.25
124,2017,1,서울특별시 강남,347559839,46016456561,132.41397123273495,서울경기,-1.6,-5.9,3.1,543924,4757295.833333333
125,2017,1,서울특별시 강동,83483435,10770761891,129.0166826113468,서울경기,-1.6,-5.9,3.1,429895,602809.3333333334
126,2017,1,서울특별시 강북,45185348,5874735944,129.99677889168854,서울경기,-1.6,-5.9,3.1,318722,226278.16666666666
127,2017,1,서울특별시 강서,119791209,15294813778,127.67220016370318,서울경기,-1.6,-5.9,3.1,594683,1230925.75
128,2017,1,서울특별시 관악,92508482,11436104437,123.6308297859649,서울경기,-1.6,-5.9,3.1,495291,431214.0
129,2017,1,서울특별시 광진,101152230,12918282824,127.71022206035398,서울경기,-1.6,-5.9,3.1,352229,454925.4166666667
130,2017,1,서울특별시 구로,122319031,15903551665,130.00602631081995,서울경기,-1.6,-5.9,3.1,406102,978190.6666666666
131,2017,1,서울특별시 금천,118558832,15663116540,132.1281028291507,서울경기,-1.6,-5.9,3.1,231082,1212274.25
132,2017,1,서울특별시 노원,74080513,9432511192,127.32050343657848,서울경기,-1.6,-5.9,3.1,548557,467374.5833333333
133,2017,1,서울특별시 도봉,41925389,5368529348,128.04291244143258,서울경기,-1.6,-5.9,3.1,339795,246880.25
134,2017,1,서울특별시 동대문,83364554,10875714454,130.44232433967076,서울경기,-1.6,-5.9,3.1,343799,530461.0
135,2017,1,서울특별시 동작,65871592,8387963272,127.3263602358358,서울경기,-1.6,-5.9,3.1,390541,464545.0
136,2017,1,서울특별시 마포,122654507,16131212712,131.50906201596,서울경기,-1.6,-5.9,3.1,367105,1408392.5833333333
137,2017,1,서울특별시 서대문,70283984,8870538310,126.21619853535906,서울경기,-1.6,-5.9,3.1,306107,606484.0833333334
138,2017,1,서울특별시 서초,246301549,32382208252,131.48828488650713,서울경기,-1.6,-5.9,3.1,432881,2485541.75
139,2017,1,서울특별시 성동,132915127,16775709155,126.21266626709838,서울경기,-1.6,-5.9,3.1,299323,788290.5833333334
140,2017,1,서울특별시 성북,74243532,9389754634,126.4712947304285,서울경기,-1.6,-5.9,3.1,436211,443174.75
141,2017,1,서울특별시 송파,154787427,20067722167,129.64967705678058,서울경기,-1.6,-5.9,3.1,655043,1985336.5
142,2017,1,서울특별시 양천,81001652,10272552452,126.82588929420844,서울경기,-1.6,-5.9,3.1,465725,498454.5833333333
143,2017,1,서울특별시 영등포,173483024,22810157935,131.48987311692238,서울경기,-1.6,-5.9,3.1,361035,2309202.1666666665
144,2017,1,서울특별시 용산,85287085,11091072954,130.03910360636667,서울경기,-1.6,-5.9,3.1,219117,859045.3333333334
145,2017,1,서울특별시 은평,65646188,8540039717,130.10883001462324,서울경기,-1.6,-5.9,3.1,478701,334156.4166666667
146,2017,1,서울특별시 종로,129586552,16945996167,130.79186167635666,서울경기,-1.6,-5.9,3.1,149159,2308367.0
147,2017,1,서울특별시 중,197696714,26048073777,131.76304288598342,서울경기,-1.6,-5.9,3.1,121334,3779950.1666666665
148,2017,1,서울특별시 중랑,52939317,6874543394,129.873628173178,서울경기,-1.6,-5.9,3.1,402360,316908.5833333333
149,2017,1,세종특별자치시 세종,207921480,24813206238,119.30864238750128,충남,-1.2,-6.4,4.5,279046,811232.6666666666
150,2017,1,울산광역시 남,1292871767,137366403652,106.23963531844994,경남,1.6,-3.7,7.7,333196,1817820.8333333333
151,2017,1,울산광역시 동,117239901,14616411275,124.66495524676364,경남,1.6,-3.7,7.7,168730,782158.3333333334
152,2017,1,울산광역시 북,176442591,21742047091,123.25963766990932,경남,1.6,-3.7,7.7,200139,808257.8333333334
153,2017,1,울산광역시 울주,901196143,94689332438,105.07762376364278,경남,1.6,-3.7,7.7,219691,1276279.4166666667
154,2017,1,울산광역시 중,33505695,4534911913,135.34154235570995,경남,1.6,-3.7,7.7,237109,321071.5
155,2017,1,인천광역시 강화,32626843,3720920143,114.05112635935998,서울경기,-1.6,-5.9,3.1,68274,107471.0
156,2017,1,인천광역시 계양,79521392,9840759309,123.74595854911595,서울경기,-1.6,-5.9,3.1,320889,331232.3333333333
157,2017,1,인천광역시 미추홀,143138212,17441732835,121.84057495422677,서울경기,-1.6,-5.9,3.1,413722,513778.5
158,2017,1,인천광역시 남동,304014180,39613251538,130.32655597150108,서울경기,-1.6,-5.9,3.1,532281,1187094.0
159,2017,1,인천광역시 동,317588676,34319451549,108.05953232727984,서울경기,-1.6,-5.9,3.1,68301,246604.75
160,2017,1,인천광역시 부평,153198896,19398164193,126.6328644241666,서울경기,-1.6,-5.9,3.1,533841,773712.0
161,2017,1,인천광역시 서,416411648,51139299108,122.7836340750007,서울경기,-1.6,-5.9,3.1,512297,1427862.9166666667
162,2017,1,인천광역시 연수,144788538,17178202401,118.662502101513,서울경기,-1.6,-5.9,3.1,332377,765149.0
163,2017,1,인천광역시 옹진,15362226,2395688428,155.9385797540018,서울경기,-1.6,-5.9,3.1,21438,51692.416666666664
164,2017,1,인천광역시 중,158660332,18720128318,117.97707178817704,서울경기,-1.6,-5.9,3.1,116290,1059314.5
165,2017,1,전라남도 강진,23773063,2013960389,84.74137397860764,전남,2.5,-1.7,7.2,36569,63792.75
166,2017,1,전라남도 고흥,37071519,3103125011,83.7053853148019,전남,2.5,-1.7,7.2,66298,105503.91666666667
167,2017,1,전라남도 곡성,30261143,3192036192,105.47934974564576,전남,2.5,-1.7,7.2,29932,71974.58333333333
168,2017,1,전라남도 광양,485053050,45946350422,94.71562913932816,전남,2.5,-1.7,7.2,155245,732510.8333333334
169,2017,1,전라남도 구례,10900126,1220589083,111.9731094759822,전남,2.5,-1.7,7.2,27355,42459.583333333336
170,2017,1,전라남도 나주,85295098,9026281662,105.81914904652552,전남,2.5,-1.7,7.2,109336,313204.6666666667
171,2017,1,전라남도 담양,39244674,4096573153,104.37820159749576,전남,2.5,-1.7,7.2,46909,96592.0
172,2017,1,전라남도 목포,57726667,7550199246,130.78026254140048,전남,2.5,-1.7,7.2,232634,316102.6666666667
173,2017,1,전라남도 무안,40189054,4185899473,104.16347728662636,전남,2.5,-1.7,7.2,82425,215812.5
174,2017,1,전라남도 보성,19046922,1937640046,101.7246817569789,전남,2.5,-1.7,7.2,43301,66952.16666666667
175,2017,1,전라남도 순천,130611356,15774450892,120.76513092705352,전남,2.5,-1.7,7.2,278040,455864.9166666667
176,2017,1,전라남도 신안,14830300,1482336048,99.94503755149933,전남,2.5,-1.7,7.2,41641,79359.08333333333
177,2017,1,전라남도 여수,1246885101,131722220604,105.62483041450665,전남,2.5,-1.7,7.2,284653,1583623.5
178,2017,1,전라남도 영광,39527688,4486302714,113.48051782082472,전남,2.5,-1.7,7.2,54245,186351.16666666666
179,2017,1,전라남도 영암,102495355,11921672285,116.3363553665432,전남,2.5,-1.7,7.2,55115,213708.0
180,2017,1,전라남도 완도,59863477,3901805428,65.17483700453951,전남,2.5,-1.7,7.2,51818,82707.75
181,2017,1,전라남도 장성,44585451,5094672267,114.25683899889223,전남,2.5,-1.7,7.2,45709,134279.33333333334
182,2017,1,전라남도 장흥,23617664,2131945458,90.2845592900297,전남,2.5,-1.7,7.2,39833,71280.0
183,2017,1,전라남도 진도,22741279,1679692281,73.86836622513623,전남,2.5,-1.7,7.2,31489,59172.0
184,2017,1,전라남도 함평,25649204,2300681603,89.71923979395227,전남,2.5,-1.7,7.2,33968,68197.33333333333
185,2017,1,전라남도 해남,58461562,4588679560,78.4631233766898,전남,2.5,-1.7,7.2,73054,148806.75
186,2017,1,전라남도 화순,40104152,4024648495,100.36340225321312,전남,2.5,-1.7,7.2,64227,121845.0
187,2017,1,전라북도 고창,40746005,3404216737,83.54902902750834,전북,0.5,-3.9,5.5,60032,112855.5
188,2017,1,전라북도 군산,656722768,72320008807,110.12337967015634,전북,0.5,-3.9,5.5,272638,674270.5
189,2017,1,전라북도 김제,71447043,7713336887,107.94378957712776,전북,0.5,-3.9,5.5,86110,199628.5
190,2017,1,전라북도 남원,38554476,4310205799,111.7840102897521,전북,0.5,-3.9,5.5,82851,120165.16666666667
191,2017,1,전라북도 무주,16098779,1881331080,116.8796362693096,전북,0.5,-3.9,5.5,24707,48304.75
192,2017,1,전라북도 부안,32441090,3523845111,108.60881815931585,전북,0.5,-3.9,5.5,55611,102866.0
193,2017,1,전라북도 순창,15932537,1657659989,104.06830797882346,전북,0.5,-3.9,5.5,29534,53598.583333333336
194,2017,1,전라북도 완주,125002107,14571775835,116.59390739629696,전북,0.5,-3.9,5.5,95426,357321.0
195,2017,1,전라북도 익산,226817910,25964273154,114.47843021920092,전북,0.5,-3.9,5.5,298209,545479.0
196,2017,1,전라북도 임실,21280949,2132193840,100.15973639145513,전북,0.5,-3.9,5.5,29991,53435.5
197,2017,1,전라북도 장수,17579175,1461093147,83.09306546524509,전북,0.5,-3.9,5.5,22889,46346.916666666664
198,2017,1,전라북도 전주,291648772,34227360647,117.3620793633926,전북,0.5,-3.9,5.5,645868,1109372.25
199,2017,1,전라북도 정읍,105894655,11610373924,109.64363921200744,전북,0.5,-3.9,5.5,112677,211662.75
200,2017,1,전라북도 진안,12423802,1269421172,102.18737974091988,전북,0.5,-3.9,5.5,26083,44878.5
201,2017,1,제주특별자치도 서귀포,158640044,13445179996,84.75916660802237,제주,7.1,4.3,10.1,176998,428951.1666666667
202,2017,1,제주특별자치도 제주,195498485,22175512773,113.44303384857432,제주,7.1,4.3,10.1,474732,1030796.8333333334
203,2017,1,충청남도 계룡,16117719,2062095877,127.93809403179196,충남,-1.2,-6.4,4.5,43789,110985.16666666667
204,2017,1,충청남도 공주,73657858,8419859137,114.31528253781153,충남,-1.2,-6.4,4.5,107607,260549.16666666666
205,2017,1,충청남도 금산,77918376,8931838932,114.61188058128933,충남,-1.2,-6.4,4.5,53433,154732.08333333334
206,2017,1,충청남도 논산,100455253,10937834216,108.89781895726249,충남,-1.2,-6.4,4.5,121080,270153.0833333333
207,2017,1,충청남도 당진,967022215,102763132425,106.23852892759037,충남,-1.2,-6.4,4.5,166568,877139.25
208,2017,1,충청남도 보령,93840361,11267416624,120.06525907652887,충남,-1.2,-6.4,4.5,102349,335249.5
209,2017,1,충청남도 부여,42219201,4094823031,97.0066649437539,충남,-1.2,-6.4,4.5,68428,143915.83333333334
210,2017,1,충청남도 서산,584518254,62549233013,106.98385115719586,충남,-1.2,-6.4,4.5,170840,1078578.6666666667
211,2017,1,충청남도 서천,102188141,9470485806,92.66188492557076,충남,-1.2,-6.4,4.5,54649,145312.25
212,2017,1,충청남도 아산,1023674232,111848475900,109.23805184899877,충남,-1.2,-6.4,4.5,309472,2227196.0833333335
213,2017,1,충청남도 예산,78747527,9102238723,115.580868644929,충남,-1.2,-6.4,4.5,79730,231067.41666666666
214,2017,1,충청남도 천안,577660935,68261225867,118.19498808812476,충남,-1.2,-6.4,4.5,627608,1906747.6666666667
215,2017,1,충청남도 청양,20973550,2249657766,107.24842091109994,충남,-1.2,-6.4,4.5,32621,86980.66666666667
216,2017,1,충청남도 태안,60380416,7647749375,126.6606488898652,충남,-1.2,-6.4,4.5,63522,237718.5
217,2017,1,충청남도 홍성,59167596,6328612405,106.9553621732409,충남,-1.2,-6.4,4.5,100812,237297.08333333334
218,2017,1,충청북도 괴산,34520939,3978723374,115.23423393842212,충북,-2.1,-7.3,3.6,38734,102259.16666666667
219,2017,1,충청북도 단양,149429246,15872242370,106.21359824903352,충북,-2.1,-7.3,3.6,29877,94650.41666666667
220,2017,1,충청북도 보은,22274773,2545415383,114.25932696598072,충북,-2.1,-7.3,3.6,33759,89589.58333333333
221,2017,1,충청북도 영동,26727519,3110866763,116.39425759270809,충북,-2.1,-7.3,3.6,49856,76576.08333333333
222,2017,1,충청북도 옥천,45876971,5591252878,121.86106363037788,충북,-2.1,-7.3,3.6,51352,102270.33333333333
223,2017,1,충청북도 음성,227506615,27309083019,120.00314066428356,충북,-2.1,-7.3,3.6,96407,570631.4166666666
224,2017,1,충청북도 제천,104009982,12065047639,115.97546674222096,충북,-2.1,-7.3,3.6,135462,232140.91666666666
225,2017,1,충청북도 증평,33985223,3978410560,117.06493402441409,충북,-2.1,-7.3,3.6,37586,78501.33333333333
226,2017,1,충청북도 진천,179851369,21333636370,118.57884993747254,충북,-2.1,-7.3,3.6,73165,501024.5833333333
227,2017,1,충청북도 청주,829705906,94801729461,114.22407997021055,충북,-2.1,-7.3,3.6,830982,2401650.75
228,2017,1,충청북도 충주,160422634,19282262907,120.1981845828563,충북,-2.1,-7.3,3.6,206875,513379.5
229,2017,2,강원도 강릉,133345213,15461702300,115.9594928488359,강원영동,3.3,-1.2,8.0,212187,393486.5
230,2017,2,강원도 고성,18879436,2300412372,121.8263907354012,강원영동,3.3,-1.2,8.0,29817,73831.75
231,2017,2,강원도 동해,190449660,21424500315,112.4532765135942,강원영동,3.3,-1.2,8.0,92100,234253.58333333334
232,2017,2,강원도 삼척,112492986,13132992952,116.74162431780414,강원영동,3.3,-1.2,8.0,67873,177678.33333333334
233,2017,2,강원도 속초,29911687,3796178750,126.90028327054908,강원영동,3.3,-1.2,8.0,81541,126996.66666666667
